Sentence,Token,Filename
24,database>?,2018 Residential Churn Questionnaire - Apr11_clean.json
25,(IF,2018 Residential Churn Questionnaire - Apr11_clean.json
25,NOT,2018 Residential Churn Questionnaire - Apr11_clean.json
25,THERE,2018 Residential Churn Questionnaire - Apr11_clean.json
25,OR,2018 Residential Churn Questionnaire - Apr11_clean.json
25,NOT,2018 Residential Churn Questionnaire - Apr11_clean.json
25,AVAILABLE,2018 Residential Churn Questionnaire - Apr11_clean.json
25,INTERVIEWER,2018 Residential Churn Questionnaire - Apr11_clean.json
25,SHOULD,2018 Residential Churn Questionnaire - Apr11_clean.json
25,ASK,2018 Residential Churn Questionnaire - Apr11_clean.json
25,FOR,2018 Residential Churn Questionnaire - Apr11_clean.json
25,A,2018 Residential Churn Questionnaire - Apr11_clean.json
25,BETTER,2018 Residential Churn Questionnaire - Apr11_clean.json
25,TIME,2018 Residential Churn Questionnaire - Apr11_clean.json
25,/,2018 Residential Churn Questionnaire - Apr11_clean.json
25,NUMBER,2018 Residential Churn Questionnaire - Apr11_clean.json
25,TO,2018 Residential Churn Questionnaire - Apr11_clean.json
25,CALL,2018 Residential Churn Questionnaire - Apr11_clean.json
25,THEM,2018 Residential Churn Questionnaire - Apr11_clean.json
25,BACK),2018 Residential Churn Questionnaire - Apr11_clean.json
26,"Hello,",2018 Residential Churn Questionnaire - Apr11_clean.json
26,my,2018 Residential Churn Questionnaire - Apr11_clean.json
26,name,2018 Residential Churn Questionnaire - Apr11_clean.json
26,is:,2018 Residential Churn Questionnaire - Apr11_clean.json
26,________,2018 Residential Churn Questionnaire - Apr11_clean.json
26,and,2018 Residential Churn Questionnaire - Apr11_clean.json
26,I'm,2018 Residential Churn Questionnaire - Apr11_clean.json
26,calling,2018 Residential Churn Questionnaire - Apr11_clean.json
26,on,2018 Residential Churn Questionnaire - Apr11_clean.json
26,behalf,2018 Residential Churn Questionnaire - Apr11_clean.json
26,of,2018 Residential Churn Questionnaire - Apr11_clean.json
26,Rogers.,2018 Residential Churn Questionnaire - Apr11_clean.json
26,Rogers,2018 Residential Churn Questionnaire - Apr11_clean.json
26,has,2018 Residential Churn Questionnaire - Apr11_clean.json
26,asked,2018 Residential Churn Questionnaire - Apr11_clean.json
26,us,2018 Residential Churn Questionnaire - Apr11_clean.json
26,to,2018 Residential Churn Questionnaire - Apr11_clean.json
26,conduct,2018 Residential Churn Questionnaire - Apr11_clean.json
26,a,2018 Residential Churn Questionnaire - Apr11_clean.json
26,short,2018 Residential Churn Questionnaire - Apr11_clean.json
26,survey,2018 Residential Churn Questionnaire - Apr11_clean.json
26,in,2018 Residential Churn Questionnaire - Apr11_clean.json
26,order,2018 Residential Churn Questionnaire - Apr11_clean.json
26,to,2018 Residential Churn Questionnaire - Apr11_clean.json
26,better,2018 Residential Churn Questionnaire - Apr11_clean.json
26,understand,2018 Residential Churn Questionnaire - Apr11_clean.json
26,the,2018 Residential Churn Questionnaire - Apr11_clean.json
26,perceptions,2018 Residential Churn Questionnaire - Apr11_clean.json
26,of,2018 Residential Churn Questionnaire - Apr11_clean.json
26,its,2018 Residential Churn Questionnaire - Apr11_clean.json
26,former,2018 Residential Churn Questionnaire - Apr11_clean.json
26,customers.,2018 Residential Churn Questionnaire - Apr11_clean.json
26,It,2018 Residential Churn Questionnaire - Apr11_clean.json
26,will,2018 Residential Churn Questionnaire - Apr11_clean.json
26,only,2018 Residential Churn Questionnaire - Apr11_clean.json
26,take,2018 Residential Churn Questionnaire - Apr11_clean.json
26,ten,2018 Residential Churn Questionnaire - Apr11_clean.json
26,minutes,2018 Residential Churn Questionnaire - Apr11_clean.json
26,of,2018 Residential Churn Questionnaire - Apr11_clean.json
26,your,2018 Residential Churn Questionnaire - Apr11_clean.json
26,time.,2018 Residential Churn Questionnaire - Apr11_clean.json
26,I,2018 Residential Churn Questionnaire - Apr11_clean.json
26,want,2018 Residential Churn Questionnaire - Apr11_clean.json
26,to,2018 Residential Churn Questionnaire - Apr11_clean.json
26,assure,2018 Residential Churn Questionnaire - Apr11_clean.json
26,you,2018 Residential Churn Questionnaire - Apr11_clean.json
26,that,2018 Residential Churn Questionnaire - Apr11_clean.json
26,we,2018 Residential Churn Questionnaire - Apr11_clean.json
26,are,2018 Residential Churn Questionnaire - Apr11_clean.json
26,not,2018 Residential Churn Questionnaire - Apr11_clean.json
26,trying,2018 Residential Churn Questionnaire - Apr11_clean.json
26,to,2018 Residential Churn Questionnaire - Apr11_clean.json
26,sell,2018 Residential Churn Questionnaire - Apr11_clean.json
26,you,2018 Residential Churn Questionnaire - Apr11_clean.json
26,anything.,2018 Residential Churn Questionnaire - Apr11_clean.json
27,Screener,2018 Residential Churn Questionnaire - Apr11_clean.json
28,S2.	Are,2018 Residential Churn Questionnaire - Apr11_clean.json
28,you,2018 Residential Churn Questionnaire - Apr11_clean.json
28,the,2018 Residential Churn Questionnaire - Apr11_clean.json
28,person,2018 Residential Churn Questionnaire - Apr11_clean.json
28,in,2018 Residential Churn Questionnaire - Apr11_clean.json
28,your,2018 Residential Churn Questionnaire - Apr11_clean.json
28,household,2018 Residential Churn Questionnaire - Apr11_clean.json
28,responsible,2018 Residential Churn Questionnaire - Apr11_clean.json
28,for,2018 Residential Churn Questionnaire - Apr11_clean.json
28,making,2018 Residential Churn Questionnaire - Apr11_clean.json
28,telecommunication,2018 Residential Churn Questionnaire - Apr11_clean.json
28,decisions?,2018 Residential Churn Questionnaire - Apr11_clean.json
28,[READ,2018 Residential Churn Questionnaire - Apr11_clean.json
28,LIST],2018 Residential Churn Questionnaire - Apr11_clean.json
29,"Yes,",2018 Residential Churn Questionnaire - Apr11_clean.json
29,sole,2018 Residential Churn Questionnaire - Apr11_clean.json
29,decision,2018 Residential Churn Questionnaire - Apr11_clean.json
29,maker,2018 Residential Churn Questionnaire - Apr11_clean.json
29,				1,2018 Residential Churn Questionnaire - Apr11_clean.json
30,"Yes,",2018 Residential Churn Questionnaire - Apr11_clean.json
30,a,2018 Residential Churn Questionnaire - Apr11_clean.json
30,co-decision,2018 Residential Churn Questionnaire - Apr11_clean.json
30,maker				2,2018 Residential Churn Questionnaire - Apr11_clean.json
31,"No,",2018 Residential Churn Questionnaire - Apr11_clean.json
31,you,2018 Residential Churn Questionnaire - Apr11_clean.json
31,have,2018 Residential Churn Questionnaire - Apr11_clean.json
31,NO,2018 Residential Churn Questionnaire - Apr11_clean.json
31,influence,2018 Residential Churn Questionnaire - Apr11_clean.json
31,in,2018 Residential Churn Questionnaire - Apr11_clean.json
31,the,2018 Residential Churn Questionnaire - Apr11_clean.json
31,decision,2018 Residential Churn Questionnaire - Apr11_clean.json
31,making	3,2018 Residential Churn Questionnaire - Apr11_clean.json
32,If,2018 Residential Churn Questionnaire - Apr11_clean.json
32,S2,2018 Residential Churn Questionnaire - Apr11_clean.json
32,=code,2018 Residential Churn Questionnaire - Apr11_clean.json
32,3,2018 Residential Churn Questionnaire - Apr11_clean.json
32,ask,2018 Residential Churn Questionnaire - Apr11_clean.json
32,S2a,2018 Residential Churn Questionnaire - Apr11_clean.json
33,S2a.,2018 Residential Churn Questionnaire - Apr11_clean.json
33,Can,2018 Residential Churn Questionnaire - Apr11_clean.json
33,I,2018 Residential Churn Questionnaire - Apr11_clean.json
33,please,2018 Residential Churn Questionnaire - Apr11_clean.json
33,speak,2018 Residential Churn Questionnaire - Apr11_clean.json
33,with,2018 Residential Churn Questionnaire - Apr11_clean.json
33,the,2018 Residential Churn Questionnaire - Apr11_clean.json
33,member,2018 Residential Churn Questionnaire - Apr11_clean.json
33,in,2018 Residential Churn Questionnaire - Apr11_clean.json
33,your,2018 Residential Churn Questionnaire - Apr11_clean.json
33,household,2018 Residential Churn Questionnaire - Apr11_clean.json
33,who,2018 Residential Churn Questionnaire - Apr11_clean.json
33,is,2018 Residential Churn Questionnaire - Apr11_clean.json
33,either,2018 Residential Churn Questionnaire - Apr11_clean.json
33,the,2018 Residential Churn Questionnaire - Apr11_clean.json
33,sole,2018 Residential Churn Questionnaire - Apr11_clean.json
33,decision,2018 Residential Churn Questionnaire - Apr11_clean.json
33,maker,2018 Residential Churn Questionnaire - Apr11_clean.json
33,or,2018 Residential Churn Questionnaire - Apr11_clean.json
33,the,2018 Residential Churn Questionnaire - Apr11_clean.json
33,co-decision,2018 Residential Churn Questionnaire - Apr11_clean.json
33,maker,2018 Residential Churn Questionnaire - Apr11_clean.json
33,for,2018 Residential Churn Questionnaire - Apr11_clean.json
33,decisions,2018 Residential Churn Questionnaire - Apr11_clean.json
33,regarding,2018 Residential Churn Questionnaire - Apr11_clean.json
33,your,2018 Residential Churn Questionnaire - Apr11_clean.json
33,telecommunications,2018 Residential Churn Questionnaire - Apr11_clean.json
33,service?,2018 Residential Churn Questionnaire - Apr11_clean.json
34,Yes,2018 Residential Churn Questionnaire - Apr11_clean.json
35,No,2018 Residential Churn Questionnaire - Apr11_clean.json
35,[TERMINATE],2018 Residential Churn Questionnaire - Apr11_clean.json
36,(Question,2018 Residential Churn Questionnaire - Apr11_clean.json
36,below,2018 Residential Churn Questionnaire - Apr11_clean.json
36,moved,2018 Residential Churn Questionnaire - Apr11_clean.json
36,up),2018 Residential Churn Questionnaire - Apr11_clean.json
37,S1Q1.	To,2018 Residential Churn Questionnaire - Apr11_clean.json
37,"begin,",2018 Residential Churn Questionnaire - Apr11_clean.json
37,please,2018 Residential Churn Questionnaire - Apr11_clean.json
37,tell,2018 Residential Churn Questionnaire - Apr11_clean.json
37,me,2018 Residential Churn Questionnaire - Apr11_clean.json
37,which,2018 Residential Churn Questionnaire - Apr11_clean.json
37,of,2018 Residential Churn Questionnaire - Apr11_clean.json
37,the,2018 Residential Churn Questionnaire - Apr11_clean.json
37,following,2018 Residential Churn Questionnaire - Apr11_clean.json
37,you,2018 Residential Churn Questionnaire - Apr11_clean.json
37,recently,2018 Residential Churn Questionnaire - Apr11_clean.json
37,did...,2018 Residential Churn Questionnaire - Apr11_clean.json
37,[READ,2018 Residential Churn Questionnaire - Apr11_clean.json
37,LIST],2018 Residential Churn Questionnaire - Apr11_clean.json
38,Cancelled,2018 Residential Churn Questionnaire - Apr11_clean.json
38,your,2018 Residential Churn Questionnaire - Apr11_clean.json
38,high,2018 Residential Churn Questionnaire - Apr11_clean.json
38,speed,2018 Residential Churn Questionnaire - Apr11_clean.json
38,internet,2018 Residential Churn Questionnaire - Apr11_clean.json
38,with,2018 Residential Churn Questionnaire - Apr11_clean.json
38,Rogers		2,2018 Residential Churn Questionnaire - Apr11_clean.json
38,[NOTE,2018 Residential Churn Questionnaire - Apr11_clean.json
38,TO,2018 Residential Churn Questionnaire - Apr11_clean.json
38,INTERVIEWER:,2018 Residential Churn Questionnaire - Apr11_clean.json
38,WE,2018 Residential Churn Questionnaire - Apr11_clean.json
38,ARE,2018 Residential Churn Questionnaire - Apr11_clean.json
38,ASKING,2018 Residential Churn Questionnaire - Apr11_clean.json
38,ABOUT,2018 Residential Churn Questionnaire - Apr11_clean.json
38,FIXED,2018 Residential Churn Questionnaire - Apr11_clean.json
38,INTERNET,2018 Residential Churn Questionnaire - Apr11_clean.json
38,(AS,2018 Residential Churn Questionnaire - Apr11_clean.json
38,IN,2018 Residential Churn Questionnaire - Apr11_clean.json
38,FOR,2018 Residential Churn Questionnaire - Apr11_clean.json
38,YOUR,2018 Residential Churn Questionnaire - Apr11_clean.json
38,HOME,2018 Residential Churn Questionnaire - Apr11_clean.json
38,AND,2018 Residential Churn Questionnaire - Apr11_clean.json
38,NOT,2018 Residential Churn Questionnaire - Apr11_clean.json
38,FOR,2018 Residential Churn Questionnaire - Apr11_clean.json
38,YOUR,2018 Residential Churn Questionnaire - Apr11_clean.json
38,MOBILE,2018 Residential Churn Questionnaire - Apr11_clean.json
38,DEVICE],2018 Residential Churn Questionnaire - Apr11_clean.json
39,Cancelled,2018 Residential Churn Questionnaire - Apr11_clean.json
39,your,2018 Residential Churn Questionnaire - Apr11_clean.json
39,cable,2018 Residential Churn Questionnaire - Apr11_clean.json
39,TV,2018 Residential Churn Questionnaire - Apr11_clean.json
39,with,2018 Residential Churn Questionnaire - Apr11_clean.json
39,Rogers				3,2018 Residential Churn Questionnaire - Apr11_clean.json
40,JUST,2018 Residential Churn Questionnaire - Apr11_clean.json
40,SELECT,2018 Residential Churn Questionnaire - Apr11_clean.json
40,EITHER,2018 Residential Churn Questionnaire - Apr11_clean.json
40,CODE,2018 Residential Churn Questionnaire - Apr11_clean.json
40,2,2018 Residential Churn Questionnaire - Apr11_clean.json
40,OR,2018 Residential Churn Questionnaire - Apr11_clean.json
40,3,2018 Residential Churn Questionnaire - Apr11_clean.json
40,TO,2018 Residential Churn Questionnaire - Apr11_clean.json
40,QUALIFY.,2018 Residential Churn Questionnaire - Apr11_clean.json
40,IF,2018 Residential Churn Questionnaire - Apr11_clean.json
40,NO,2018 Residential Churn Questionnaire - Apr11_clean.json
40,TO,2018 Residential Churn Questionnaire - Apr11_clean.json
40,BOTH,2018 Residential Churn Questionnaire - Apr11_clean.json
40,CODES,2018 Residential Churn Questionnaire - Apr11_clean.json
40,2,2018 Residential Churn Questionnaire - Apr11_clean.json
40,AND,2018 Residential Churn Questionnaire - Apr11_clean.json
40,"3,",2018 Residential Churn Questionnaire - Apr11_clean.json
40,THANK,2018 Residential Churn Questionnaire - Apr11_clean.json
40,AND,2018 Residential Churn Questionnaire - Apr11_clean.json
40,"TERMINATE,",2018 Residential Churn Questionnaire - Apr11_clean.json
41,Yes	1,2018 Residential Churn Questionnaire - Apr11_clean.json
42,No	2,2018 Residential Churn Questionnaire - Apr11_clean.json
43,Hidden,2018 Residential Churn Questionnaire - Apr11_clean.json
43,Variable:,2018 Residential Churn Questionnaire - Apr11_clean.json
43,Cancellation_Type:,2018 Residential Churn Questionnaire - Apr11_clean.json
44,TV_Only:,2018 Residential Churn Questionnaire - Apr11_clean.json
44,if,2018 Residential Churn Questionnaire - Apr11_clean.json
44,selected,2018 Residential Churn Questionnaire - Apr11_clean.json
44,option,2018 Residential Churn Questionnaire - Apr11_clean.json
44,3,2018 Residential Churn Questionnaire - Apr11_clean.json
44,only,2018 Residential Churn Questionnaire - Apr11_clean.json
44,and,2018 Residential Churn Questionnaire - Apr11_clean.json
44,no,2018 Residential Churn Questionnaire - Apr11_clean.json
44,other,2018 Residential Churn Questionnaire - Apr11_clean.json
44,codes.,2018 Residential Churn Questionnaire - Apr11_clean.json
45,Internet_Only:,2018 Residential Churn Questionnaire - Apr11_clean.json
45,if,2018 Residential Churn Questionnaire - Apr11_clean.json
45,selected,2018 Residential Churn Questionnaire - Apr11_clean.json
45,option,2018 Residential Churn Questionnaire - Apr11_clean.json
45,2,2018 Residential Churn Questionnaire - Apr11_clean.json
45,only,2018 Residential Churn Questionnaire - Apr11_clean.json
45,only,2018 Residential Churn Questionnaire - Apr11_clean.json
45,and,2018 Residential Churn Questionnaire - Apr11_clean.json
45,no,2018 Residential Churn Questionnaire - Apr11_clean.json
45,other,2018 Residential Churn Questionnaire - Apr11_clean.json
45,code,2018 Residential Churn Questionnaire - Apr11_clean.json
46,TV&Int:,2018 Residential Churn Questionnaire - Apr11_clean.json
46,If,2018 Residential Churn Questionnaire - Apr11_clean.json
46,selected,2018 Residential Churn Questionnaire - Apr11_clean.json
46,option,2018 Residential Churn Questionnaire - Apr11_clean.json
46,2,2018 Residential Churn Questionnaire - Apr11_clean.json
46,&,2018 Residential Churn Questionnaire - Apr11_clean.json
46,3,2018 Residential Churn Questionnaire - Apr11_clean.json
46,only,2018 Residential Churn Questionnaire - Apr11_clean.json
46,and,2018 Residential Churn Questionnaire - Apr11_clean.json
46,no,2018 Residential Churn Questionnaire - Apr11_clean.json
46,other,2018 Residential Churn Questionnaire - Apr11_clean.json
46,codes,2018 Residential Churn Questionnaire - Apr11_clean.json
47,"TV,",2018 Residential Churn Questionnaire - Apr11_clean.json
47,"Wireless_Rogers,",2018 Residential Churn Questionnaire - Apr11_clean.json
47,Int:,2018 Residential Churn Questionnaire - Apr11_clean.json
47,If,2018 Residential Churn Questionnaire - Apr11_clean.json
47,selected,2018 Residential Churn Questionnaire - Apr11_clean.json
47,Option,2018 Residential Churn Questionnaire - Apr11_clean.json
47,2,2018 Residential Churn Questionnaire - Apr11_clean.json
47,&,2018 Residential Churn Questionnaire - Apr11_clean.json
47,3,2018 Residential Churn Questionnaire - Apr11_clean.json
47,&,2018 Residential Churn Questionnaire - Apr11_clean.json
47,"4,",2018 Residential Churn Questionnaire - Apr11_clean.json
47,no,2018 Residential Churn Questionnaire - Apr11_clean.json
47,other,2018 Residential Churn Questionnaire - Apr11_clean.json
47,codes,2018 Residential Churn Questionnaire - Apr11_clean.json
48,TERMINATE,2018 Residential Churn Questionnaire - Apr11_clean.json
48,IF,2018 Residential Churn Questionnaire - Apr11_clean.json
48,NO,2018 Residential Churn Questionnaire - Apr11_clean.json
48,TO,2018 Residential Churn Questionnaire - Apr11_clean.json
48,BOTH,2018 Residential Churn Questionnaire - Apr11_clean.json
49,S3.	Are,2018 Residential Churn Questionnaire - Apr11_clean.json
49,you,2018 Residential Churn Questionnaire - Apr11_clean.json
49,a,2018 Residential Churn Questionnaire - Apr11_clean.json
49,student?,2018 Residential Churn Questionnaire - Apr11_clean.json
50,INTERVIEWER,2018 Residential Churn Questionnaire - Apr11_clean.json
50,NOTE:,2018 Residential Churn Questionnaire - Apr11_clean.json
50,IF,2018 Residential Churn Questionnaire - Apr11_clean.json
50,"STUDENT,",2018 Residential Churn Questionnaire - Apr11_clean.json
50,PROBE,2018 Residential Churn Questionnaire - Apr11_clean.json
50,IF,2018 Residential Churn Questionnaire - Apr11_clean.json
50,FULL,2018 Residential Churn Questionnaire - Apr11_clean.json
50,TIME,2018 Residential Churn Questionnaire - Apr11_clean.json
50,OR,2018 Residential Churn Questionnaire - Apr11_clean.json
50,PART,2018 Residential Churn Questionnaire - Apr11_clean.json
50,TIME,2018 Residential Churn Questionnaire - Apr11_clean.json
51,"Yes,",2018 Residential Churn Questionnaire - Apr11_clean.json
51,part-time,2018 Residential Churn Questionnaire - Apr11_clean.json
51,1,2018 Residential Churn Questionnaire - Apr11_clean.json
52,"Yes,",2018 Residential Churn Questionnaire - Apr11_clean.json
52,full-time	,2018 Residential Churn Questionnaire - Apr11_clean.json
52,2,2018 Residential Churn Questionnaire - Apr11_clean.json
52,TERMINATE,2018 Residential Churn Questionnaire - Apr11_clean.json
53,"No,",2018 Residential Churn Questionnaire - Apr11_clean.json
53,not,2018 Residential Churn Questionnaire - Apr11_clean.json
53,a,2018 Residential Churn Questionnaire - Apr11_clean.json
53,student,2018 Residential Churn Questionnaire - Apr11_clean.json
53,3,2018 Residential Churn Questionnaire - Apr11_clean.json
54,TERMINATE,2018 Residential Churn Questionnaire - Apr11_clean.json
54,DQ,2018 Residential Churn Questionnaire - Apr11_clean.json
54,TEXT:,2018 Residential Churn Questionnaire - Apr11_clean.json
55,Thank,2018 Residential Churn Questionnaire - Apr11_clean.json
55,you,2018 Residential Churn Questionnaire - Apr11_clean.json
55,for,2018 Residential Churn Questionnaire - Apr11_clean.json
55,your,2018 Residential Churn Questionnaire - Apr11_clean.json
55,interest,2018 Residential Churn Questionnaire - Apr11_clean.json
55,in,2018 Residential Churn Questionnaire - Apr11_clean.json
55,taking,2018 Residential Churn Questionnaire - Apr11_clean.json
55,this,2018 Residential Churn Questionnaire - Apr11_clean.json
55,survey.,2018 Residential Churn Questionnaire - Apr11_clean.json
55,However,2018 Residential Churn Questionnaire - Apr11_clean.json
55,based,2018 Residential Churn Questionnaire - Apr11_clean.json
55,on,2018 Residential Churn Questionnaire - Apr11_clean.json
55,your,2018 Residential Churn Questionnaire - Apr11_clean.json
55,answers,2018 Residential Churn Questionnaire - Apr11_clean.json
55,so,2018 Residential Churn Questionnaire - Apr11_clean.json
55,"far,",2018 Residential Churn Questionnaire - Apr11_clean.json
55,you,2018 Residential Churn Questionnaire - Apr11_clean.json
55,will,2018 Residential Churn Questionnaire - Apr11_clean.json
55,not,2018 Residential Churn Questionnaire - Apr11_clean.json
55,find,2018 Residential Churn Questionnaire - Apr11_clean.json
55,the,2018 Residential Churn Questionnaire - Apr11_clean.json
55,rest,2018 Residential Churn Questionnaire - Apr11_clean.json
55,of,2018 Residential Churn Questionnaire - Apr11_clean.json
55,the,2018 Residential Churn Questionnaire - Apr11_clean.json
55,survey,2018 Residential Churn Questionnaire - Apr11_clean.json
55,is,2018 Residential Churn Questionnaire - Apr11_clean.json
55,relevant,2018 Residential Churn Questionnaire - Apr11_clean.json
55,to,2018 Residential Churn Questionnaire - Apr11_clean.json
55,you.,2018 Residential Churn Questionnaire - Apr11_clean.json
55,Thank,2018 Residential Churn Questionnaire - Apr11_clean.json
55,you,2018 Residential Churn Questionnaire - Apr11_clean.json
55,for,2018 Residential Churn Questionnaire - Apr11_clean.json
55,your,2018 Residential Churn Questionnaire - Apr11_clean.json
55,time.,2018 Residential Churn Questionnaire - Apr11_clean.json
56,MAIN,2018 Residential Churn Questionnaire - Apr11_clean.json
56,QUESTIONNAIRE,2018 Residential Churn Questionnaire - Apr11_clean.json
57,Section,2018 Residential Churn Questionnaire - Apr11_clean.json
57,1:,2018 Residential Churn Questionnaire - Apr11_clean.json
57,Background,2018 Residential Churn Questionnaire - Apr11_clean.json
58,D3.	Which,2018 Residential Churn Questionnaire - Apr11_clean.json
58,province,2018 Residential Churn Questionnaire - Apr11_clean.json
58,do,2018 Residential Churn Questionnaire - Apr11_clean.json
58,you,2018 Residential Churn Questionnaire - Apr11_clean.json
58,live,2018 Residential Churn Questionnaire - Apr11_clean.json
58,in?,2018 Residential Churn Questionnaire - Apr11_clean.json
58,[DO,2018 Residential Churn Questionnaire - Apr11_clean.json
58,NOT,2018 Residential Churn Questionnaire - Apr11_clean.json
58,READ],2018 Residential Churn Questionnaire - Apr11_clean.json
59,New,2018 Residential Churn Questionnaire - Apr11_clean.json
59,Brunswick			1,2018 Residential Churn Questionnaire - Apr11_clean.json
60,Newfoundland		2,2018 Residential Churn Questionnaire - Apr11_clean.json
61,Ontario			3,2018 Residential Churn Questionnaire - Apr11_clean.json
62,Other				999,2018 Residential Churn Questionnaire - Apr11_clean.json
63,USE,2018 Residential Churn Questionnaire - Apr11_clean.json
63,THIS,2018 Residential Churn Questionnaire - Apr11_clean.json
